-71.1002271,42.3723432,135 Amory St, Cambridge, Ma, 2166
-71.100735,42.3708482,14 St Mary Rd, Cambridge, Ma, 2643
-71.1010332,42.3697991,175 Prospect St, Cambridge, Ma, 3433
-71.1011242,42.3699772,177 Prospect St, Cambridge, Ma, 3492
-71.1052763,42.3697838,295 Harvard St, Cambridge, Ma, 830
-71.1049107,42.371994,12 Maple Ave, Cambridge, Ma, 831
-71.103383,42.3700902,344 Broadway, Cambridge, Ma, 846
-71.1017713,42.3736354,1418 Cambridge St, Cambridge, Ma, 854
-71.1015675,42.3741809,240 Hampshire St, Cambridge, Ma, 855
-71.1021827,42.3727068,101 Antrim St, Cambridge, Ma, 961
-71.1017246,42.372018,101 Inman St, Cambridge, Ma, 969
-71.1077298,42.3690983,106 Hancock St, Cambridge, Ma, 996
-71.1016162,42.3721904,103 Inman St, Cambridge, Ma, 1028
-71.1015454,42.3723501,107 Inman St, Cambridge, Ma, 1117
-71.1015583,42.372426,107-1/2 Inman St, Cambridge, Ma, 1168
-71.1014215,42.372468,109 Inman St, Cambridge, Ma, 1169
-71.1079563,42.3686459,10 Arnold Cir, Cambridge, Ma, 1190
-71.1061002,42.3682099,10 Clinton St, Cambridge, Ma, 1213
-71.1040524,42.371434,10 Fayette St, Cambridge, Ma, 1229
-71.1075857,42.3691926,110 Hancock St, Cambridge, Ma, 1326
-71.1012257,42.3727565,113 Inman St, Cambridge, Ma, 1406
-71.1074847,42.3693685,116 Hancock St, Cambridge, Ma, 1478
-71.101145,42.3728758,117 Inman St, Cambridge, Ma, 1506
-71.101731,42.3729336,118 Antrim St, Cambridge, Ma, 1518
-71.1018762,42.3730903,119 Antrim St, Cambridge, Ma, 1542
-71.1010563,42.3730047,121 Inman St, Cambridge, Ma, 1551
-71.1073544,42.3694854,122 Hancock St, Cambridge, Ma, 1769
-71.1009852,42.3730981,123 Inman St, Cambridge, Ma, 1791
-71.101914,42.3732083,125 Antrim St, Cambridge, Ma, 1821
-71.1034205,42.3707086,12 Antrim St, Cambridge, Ma, 1933
-71.1077954,42.3684747,12 Arnold Cir, Cambridge, Ma, 1935
-71.1053355,42.3678995,12 Bigelow St, Cambridge, Ma, 1941
-71.1060104,42.3682947,12 Clinton St, Cambridge, Ma, 1952
-71.1033253,42.3734658,12 Fainwood Cir, Cambridge, Ma, 1968
-71.1039026,42.3715973,12 Fayette St, Cambridge, Ma, 1973
-71.107175,42.3682116,12 Lee St, Cambridge, Ma, 2009
-71.1008728,42.3732204,135 Inman St, Cambridge, Ma, 2174
-71.1056366,42.3678648,13 Bigelow St, Cambridge, Ma, 2265
-71.106188,42.3684767,13 Clinton St, Cambridge, Ma, 2271
-71.1070609,42.3682789,14 Lee St, Cambridge, Ma, 2609
-71.1020104,42.3737738,1426 Cambridge St, Cambridge, Ma, 2398
-71.1022535,42.3741908,1431-A Cambridge St, Cambridge, Ma, 2413
-71.1052196,42.3679986,14 Bigelow St, Cambridge, Ma, 2542
-71.1055151,42.3680087,15 Bigelow St, Cambridge, Ma, 2872
-71.1048104,42.3676116,17 Inman St, Cambridge, Ma, 3557
-71.1032603,42.3707319,16 Antrim St, Cambridge, Ma, 3189
-71.1051359,42.3680881,16 Bigelow St, Cambridge, Ma, 3197
-71.1058667,42.3684581,16 Clinton St, Cambridge, Ma, 3220
-71.103314,42.3732758,16 Fainwood Cir, Cambridge, Ma, 3228
-71.1036511,42.3718483,16 Fayette St, Cambridge, Ma, 3234
-71.1069338,42.3684505,16 Lee St, Cambridge, Ma, 3265
-71.1053815,42.3681616,17-A Bigelow St, Cambridge, Ma, 3503
-71.1060556,42.3687286,17-1/2 Clinton St, Cambridge, Ma, 3518
-71.1059293,42.368699,17 Clinton St, Cambridge, Ma, 3519
-71.1040486,42.3719001,17 Fayette St, Cambridge, Ma, 3532
-71.1050504,42.3681789,18 Bigelow St, Cambridge, Ma, 3752
-71.1056943,42.368638,18 Clinton St, Cambridge, Ma, 3768
-71.103394,42.373176,18 Fainwood Cir, Cambridge, Ma, 3782
-71.103527,42.3719887,18 Fayette St, Cambridge, Ma, 3784
-71.1052314,42.3682926,19 Bigelow St, Cambridge, Ma, 4018
-71.105833,42.3687694,19 Clinton St, Cambridge, Ma, 4034
-71.1046802,42.3677298,19 Inman St, Cambridge, Ma, 4078
-71.1036146,42.3712024,1 Corliss Pl, Cambridge, Ma, 4155
-71.1034845,42.3730761,20 Fainwood Cir, Cambridge, Ma, 4410
-71.1034662,42.3720801,20 Fayette St, Cambridge, Ma, 4415
-71.1046356,42.3723303,20 Maple Ave, Cambridge, Ma, 4453
-71.105759,42.3688732,21 Clinton St, Cambridge, Ma, 4647
-71.1033876,42.3729267,21 Fainwood Cir, Cambridge, Ma, 4661
-71.1072742,42.3689147,21-A Lee St, Cambridge, Ma, 4690
-71.1055783,42.3687566,20 Clinton St, Cambridge, Ma, 4872
-71.1033918,42.3721711,22 Fayette St, Cambridge, Ma, 4888
-71.136788,42.3784086,14 Reservoir St, Cambridge, Ma, 2635
-71.0986348,42.3739559,24 Clary St, Cambridge, Ma, 5263
-71.0995435,42.3743519,26 Oak St, Cambridge, Ma, 5720
-71.1011105,42.3741107,243 Hampshire St, Cambridge, Ma, 5201
-71.1012898,42.3742786,251 Hampshire St, Cambridge, Ma, 5393
-71.1103119,42.3652895,25 Jay St, Cambridge, Ma, 5530
-71.1072488,42.3647468,26 Pleasant St, Cambridge, Ma, 5722
-71.1084035,42.3660958,22 Soden St, Cambridge, Ma, 5743
-71.1106964,42.3649286,28 Howard St, Cambridge, Ma, 5991
-71.1092676,42.3653321,27 Kinnaird St, Cambridge, Ma, 6124
-71.1096241,42.3675137,30 Hancock St, Cambridge, Ma, 6370
-71.1120805,42.3628782,249 River St, Cambridge, Ma, 6433
-71.1070656,42.3655283,318 Franklin St, Cambridge, Ma, 6468
-71.1069819,42.3657093,321 Franklin St, Cambridge, Ma, 6572
-71.1072336,42.3656315,324 Franklin St, Cambridge, Ma, 6592
-71.1096075,42.3675493,32 Hancock St, Cambridge, Ma, 6653
-71.1090113,42.3656212,32 Kinnaird St, Cambridge, Ma, 6665
-71.1095359,42.3676201,34 Hancock St, Cambridge, Ma, 6920
-71.1090173,42.3656968,34 Kinnaird St, Cambridge, Ma, 6930
-71.1084328,42.3662884,34 Soden St, Cambridge, Ma, 6954
-71.1076023,42.366093,345 Franklin St, Cambridge, Ma, 6998
-71.1080238,42.3663365,369 Franklin St, Cambridge, Ma, 7130
-71.1090284,42.3657858,36 Kinnaird St, Cambridge, Ma, 7186
-71.1056033,42.3657058,359 Green St, Cambridge, Ma, 7229
-71.1084744,42.3663673,382 Franklin St, Cambridge, Ma, 7347
-71.1088503,42.3658543,38 Kinnaird St, Cambridge, Ma, 7404
-71.1080674,42.3653328,3 Soden St, Cambridge, Ma, 7634
-71.1090448,42.365899,40 Kinnaird St, Cambridge, Ma, 7725
-71.1090567,42.3671055,429 Franklin St, Cambridge, Ma, 7873
-71.1090681,42.3659722,42 Kinnaird St, Cambridge, Ma, 7903
